Frame (#),Attempts (k),Total Time Taken (seconds),Backoff Time (seconds),
1,2.00,4.00,0.000000,
2,1.00,2.00,0.000000,
3,1.00,2.00,0.000000,
4,1.00,2.00,0.000000,
5,1.00,2.00,0.000000,
6,1.00,2.00,0.000000,
7,3.00,6.00,0.000003,
8,1.00,2.00,0.000003,
9,2.00,4.00,0.000000,
10,3.00,6.00,0.000000,
11,2.00,4.00,0.000000,
12,1.00,2.00,0.000000,
13,1.00,2.00,0.000000,
14,2.00,4.00,0.000000,
15,1.00,2.00,0.000000,
16,5.00,10.00,0.000003,
17,2.00,4.00,0.000000,
18,2.00,4.00,0.000000,
19,2.00,4.00,0.000000,
20,2.00,4.00,0.000000,
21,1.00,2.00,0.000000,
22,3.00,6.00,0.000000,
23,4.00,8.00,0.000000,
24,2.00,4.00,0.000000,
25,1.00,2.00,0.000000,
26,1.00,2.00,0.000000,
27,1.00,2.00,0.000000,
28,4.00,8.00,0.000000,
29,3.00,6.00,0.000002,
30,2.00,4.00,0.000000,
31,2.00,4.00,0.000000,
32,1.00,2.00,0.000000,
33,1.00,2.00,0.000000,
34,1.00,2.00,0.000000,
35,1.00,2.00,0.000000,
36,2.00,4.00,0.000000,
37,1.00,2.00,0.000000,
38,1.00,2.00,0.000000,
39,3.00,6.00,0.000002,
40,1.00,2.00,0.000002,
41,1.00,2.00,0.000002,
42,4.00,8.00,0.000008,
43,3.00,6.00,0.000002,
44,1.00,2.00,0.000002,
45,2.00,4.00,0.000000,
46,1.00,2.00,0.000000,
47,3.00,6.00,0.000000,
48,4.00,8.00,0.000002,
49,1.00,2.00,0.000002,
50,2.00,4.00,0.000000,
51,1.00,2.00,0.000000,
52,3.00,6.00,0.000002,
53,6.00,12.00,0.000024,
54,4.00,8.00,0.000009,
55,4.00,8.00,0.000000,
56,2.00,4.00,0.000000,
57,1.00,2.00,0.000000,
58,1.00,2.00,0.000000,
59,2.00,4.00,0.000000,
60,1.00,2.00,0.000000,
61,3.00,6.00,0.000000,
62,6.00,12.00,0.000038,
63,1.00,2.00,0.000038,
64,3.00,6.00,0.000002,
65,1.00,2.00,0.000002,
66,1.00,2.00,0.000002,
67,1.00,2.00,0.000002,
68,2.00,4.00,0.000000,
69,1.00,2.00,0.000000,
70,3.00,6.00,0.000000,
71,3.00,6.00,0.000000,
72,3.00,6.00,0.000002,
73,1.00,2.00,0.000002,
74,1.00,2.00,0.000002,
75,1.00,2.00,0.000002,
76,2.00,4.00,0.000000,
77,4.00,8.00,0.000003,
78,1.00,2.00,0.000003,
79,1.00,2.00,0.000003,
80,4.00,8.00,0.000009,
81,1.00,2.00,0.000009,
82,3.00,6.00,0.000003,
83,3.00,6.00,0.000003,
84,3.00,6.00,0.000002,
85,1.00,2.00,0.000002,
86,3.00,6.00,0.000002,
87,1.00,2.00,0.000002,
88,1.00,2.00,0.000002,
89,1.00,2.00,0.000002,
90,2.00,4.00,0.000000,
91,1.00,2.00,0.000000,
92,2.00,4.00,0.000000,
93,1.00,2.00,0.000000,
94,2.00,4.00,0.000000,
95,1.00,2.00,0.000000,
96,1.00,2.00,0.000000,
97,1.00,2.00,0.000000,
98,2.00,4.00,0.000000,
99,1.00,2.00,0.000000,
100,2.00,4.00,0.000000,
